accuracy,loss,val_accuracy,val_loss
0.5518900156021118,0.8429358005523682,0.5603506565093994,0.8565678000450134
0.7130584120750427,0.699432373046875,0.6554281711578369,0.7615992426872253
0.7840206027030945,0.6180150508880615,0.704652726650238,0.7138693928718567
0.819415807723999,0.5698845386505127,0.7478085160255432,0.6729657649993896
0.8386598229408264,0.5377776622772217,0.7707350254058838,0.6410871148109436
0.8512027263641357,0.5122494101524353,0.7882670164108276,0.6166126728057861
0.8613402247428894,0.4905846118927002,0.7902899384498596,0.6003151535987854
0.8685566782951355,0.4759356677532196,0.8064733743667603,0.5826520919799805
0.8745704293251038,0.4629541039466858,0.8152393698692322,0.5686464905738831
0.8824742436408997,0.44747865200042725,0.8192852139472961,0.5552043318748474
0.8850515484809875,0.43746626377105713,0.8253540396690369,0.5452598333358765
0.8908934593200684,0.4226757884025574,0.8293998837471008,0.5350951552391052
0.8919243812561035,0.41784584522247314,0.8354686498641968,0.5259649753570557
0.9005154371261597,0.40558311343193054,0.8361429572105408,0.5173051357269287
0.8945017457008362,0.40387454628944397,0.8449089527130127,0.5133184194564819
0.9010308980941772,0.39687711000442505,0.8496291041374207,0.5023314952850342
0.9053264856338501,0.3894297182559967,0.8523263931274414,0.4951538145542145
0.9075601100921631,0.38337671756744385,0.8530007004737854,0.4874238669872284
0.9058419466018677,0.3785931468009949,0.8550236225128174,0.4805871844291687
0.9140893220901489,0.37066084146499634,0.8577208518981934,0.4755174219608307
