,precision,recall,f1-score,support,AUC,FPR,FNR
benign,0.9457831325301205,0.9661538461538461,0.9558599695585996,650.0,,0.02710843373493976,0.033846153846153845
malignant,0.9832572298325722,0.9728915662650602,0.9780469341408025,1328.0,0.9923963160333642,0.033846153846153845,0.02710843373493976
accuracy,,,0.9706774519716885,1978.0,,,
macro avg,0.9645201811813464,0.9695227062094531,0.966953451849701,1978.0,,,
weighted avg,0.970942688251888,0.9706774519716885,0.9707559700465499,1978.0,,,
