,Epoch,Train_Loss,Train_Acc,Train_Recall,Train_Spec,Train_F1,Train_AUC,Test_Loss,Test_Acc,Test_Recall,Test_Spec,Test_F1,Test_AUC
0,Epoch1,0.3034983452447911,0.8719931271477663,0.9066970091027308,0.8330903790087464,0.8821761821919974,0.9417831362528291,0.27119882884093094,0.8846931894807822,0.9804878048780488,0.6703056768558951,0.921595598349381,0.9650591117264884
1,Epoch2,0.1718623320312844,0.9355670103092784,0.9489596879063719,0.9205539358600583,0.9396426846933849,0.9807796156266706,0.16920039208953797,0.9312204989885368,0.9580487804878048,0.87117903930131,0.9506292352371732,0.9793929065928213
2,Epoch3,0.11953015090110376,0.9563573883161512,0.9616384915474643,0.9504373177842566,0.9588330632090761,0.9909752262413418,0.20770488564862002,0.9265003371544167,0.9902439024390244,0.7838427947598253,0.949041608228144,0.9852252636063478
3,Epoch4,0.08034214943557773,0.9687285223367698,0.9713914174252276,0.9657434402332361,0.9704449496589802,0.9958909046620691,0.1633458276676794,0.9420094403236683,0.9707317073170731,0.8777292576419214,0.9585741811175337,0.9821919267227607
4,Epoch5,0.056208286717889314,0.9776632302405498,0.9791937581274383,0.9759475218658892,0.9788755281117972,0.9979702730061001,0.1375525034687765,0.9527983816587997,0.9775609756097561,0.8973799126637555,0.9662487945998072,0.9888507828309725
5,Epoch6,0.0383164116757509,0.9874570446735396,0.9889466840052016,0.9857871720116618,0.9881435764170863,0.9989149988436764,0.1536773641117103,0.9447066756574511,0.9785365853658536,0.868995633187773,0.960727969348659,0.9854318883800192
6,Epoch7,0.03774299474762708,0.98659793814433,0.9876462938881665,0.9854227405247813,0.9873253168670784,0.9991127349137686,0.1488466773104282,0.9494268374915711,0.9619512195121951,0.9213973799126638,0.9633610161211529,0.9872190861646607
7,Epoch8,0.019734237940431512,0.993127147766323,0.9934980494148244,0.9927113702623906,0.9934980494148244,0.9997656549151335,0.24561338349222253,0.9379635873229939,0.9873170731707317,0.8275109170305677,0.9565217391304348,0.9859409947811268
8,Epoch9,0.019128336422657433,0.9926116838487973,0.9925227568270482,0.9927113702623906,0.993006993006993,0.9997886392156714,0.22160422908982472,0.9501011463250169,0.984390243902439,0.8733624454148472,0.9646271510516252,0.987698370433486
9,Epoch10,0.015473880968936735,0.9951890034364261,0.9951235370611183,0.9952623906705539,0.9954471544715447,0.9998163625472481,0.20012694002843173,0.9420094403236683,0.9785365853658536,0.8602620087336245,0.9588910133843213,0.9872446479923315
