Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
0,0.5738831758499146,1.2230806350708008,0.712744414806366,0.8155169486999512
1,0.7725085616111755,0.6263613104820251,0.7633175849914551,0.6444061994552612
2,0.861168384552002,0.3891472816467285,0.7963587045669556,0.5571616291999817
3,0.9140893220901489,0.2515122592449188,0.8071476817131042,0.6421818137168884
4,0.9333333373069763,0.1880568414926529,0.7390424609184265,0.8566132187843323
5,0.9501718282699585,0.1480713039636612,0.8098449110984802,0.6142488718032837
6,0.9537800550460815,0.1317480206489563,0.8179365992546082,0.5422777533531189
7,0.9587628841400146,0.11762441694736481,0.7761294841766357,0.8744447231292725
8,0.9549828171730042,0.12309087812900543,0.8017532229423523,0.6786279678344727
9,0.9664948582649231,0.09521720558404922,0.8246797323226929,0.5444201231002808
10,0.9635738730430603,0.10389913618564606,0.7889413237571716,0.8842794299125671
11,0.9702749252319336,0.08105316013097763,0.7896156311035156,1.2180676460266113
