,Config_17
0,0.4742268041237113
1,0.6072164948453608
2,0.6804123711340206
3,0.7268041237113402
4,0.7649484536082474
5,0.7955326460481099
6,0.8266323024054982
7,0.8489690721649484
8,0.8630584192439863
9,0.8864261168384879
