,Fold,Epoch,Train_Recall,Train_Spec,Train_F1,Train_AUC,Test_Recall,Test_Spec,Test_F1,Test_AUC
0,Fold2,Epoch1,0.30052724077328646,0.9632087995448512,0.36616702355460384,0.8581361027111288,0.5606060606060606,0.9796839729119639,0.6351931330472103,0.9540324235583829
1,Fold2,Epoch2,0.6836555360281195,0.9694670965294898,0.6952636282394995,0.9620445969902713,0.8181818181818182,0.9541008276899925,0.717607973421927,0.9741774403173953
2,Fold2,Epoch3,0.7785588752196837,0.9797079461407169,0.7917783735478106,0.9835151851275374,0.696969696969697,0.9939804364183596,0.7931034482758621,0.9861709647262694
3,Fold2,Epoch4,0.8769771528998243,0.9899487957519438,0.8902765388046388,0.9932374263291092,0.8560606060606061,0.9849510910458992,0.8528301886792453,0.9921962286522106
4,Fold2,Epoch5,0.9103690685413005,0.9920348947468235,0.9176262178919398,0.9965350558953878,0.8333333333333334,0.9744168547780286,0.7971014492753623,0.9835488063479034
5,Fold2,Epoch6,0.9279437609841827,0.992793476199507,0.9303964757709251,0.9979072350872585,0.9393939393939394,0.9608728367193379,0.8051948051948052,0.9927320610164854
6,Fold2,Epoch7,0.9490333919156415,0.9946899298312156,0.9498680738786279,0.9986374863890289,0.9242424242424242,0.9789315274642588,0.8652482269503546,0.9935529105958
7,Fold2,Epoch8,0.9595782073813708,0.9939313483785321,0.9520488230165649,0.9989771149040925,0.9242424242424242,0.9796839729119639,0.8683274021352313,0.9902068084912329
8,Fold2,Epoch9,0.9753954305799648,0.9979139010051205,0.9779735682819384,0.9996723701370879,0.8939393939393939,0.9857035364936042,0.8773234200743495,0.994419362929521
9,Fold2,Epoch10,0.9648506151142355,0.9937417030153612,0.9539530842745438,0.9982321985830258,0.8560606060606061,0.9932279909706546,0.889763779527559,0.994584672914244
10,Fold2,Epoch11,0.9859402460456942,0.9996207092736583,0.991166077738516,0.9999123431801161,0.8939393939393939,0.9939804364183596,0.9147286821705426,0.9959869576122399
11,Fold2,Epoch12,0.9736379613356766,0.9981035463682913,0.9779346866725508,0.999767692762513,0.8863636363636364,0.9887133182844243,0.8863636363636364,0.9936327154160111
12,Fold2,Epoch13,0.9789103690685413,0.9975346102787787,0.9780509218612818,0.9998156873711186,0.8181818181818182,0.9969902182091799,0.8852459016393442,0.9905089267391751
13,Fold2,Epoch14,0.9806678383128296,0.9981035463682913,0.9815303430079155,0.9984368422613861,0.9545454545454546,0.9857035364936042,0.9097472924187726,0.9974177440317396
14,Fold2,Epoch15,0.9771528998242531,0.997155319552437,0.9754385964912281,0.9995100550371508,0.803030303030303,0.9954853273137697,0.8688524590163934,0.9938778302209454
15,Fold2,Epoch16,0.9806678383128296,0.9977242556419496,0.9798068481123793,0.999742695570531,0.8636363636363636,0.9977426636568849,0.9156626506024096,0.9941571470916843
16,Fold2,Epoch17,1.0,1.0,1.0,1.0,0.8787878787878788,0.9932279909706546,0.9027237354085603,0.9958615500376222
17,Fold2,Epoch18,1.0,0.9998103546368291,0.9991220368744512,1.0,0.9242424242424242,0.9932279909706546,0.9277566539923955,0.9953314180176484
18,Fold2,Epoch19,1.0,1.0,1.0,1.0,0.9015151515151515,0.9947328818660647,0.9224806201550387,0.9936156143831087
19,Fold2,Epoch20,0.9525483304042179,0.9946899298312156,0.95171202809482,0.9987564730228637,0.9545454545454546,0.9864559819413092,0.9130434782608695,0.9967280023713433
20,Fold2,Epoch21,0.9718804920913884,0.9979139010051205,0.9761694616063548,0.9997003669921078,0.946969696969697,0.9548532731376975,0.7886435331230284,0.9910048566933443
21,Fold2,Epoch22,0.984182776801406,0.9973449649156079,0.9798775153105862,0.9996463730574267,0.9015151515151515,0.9924755455229496,0.9118773946360154,0.9947613835875687
22,Fold2,Epoch23,0.9982425307557118,0.9998103546368291,0.9982425307557118,0.9999990001123207,0.9015151515151515,0.9962377727614747,0.9296875,0.997292336457122
23,Fold2,Epoch24,0.984182776801406,0.9986724824578039,0.9859154929577465,0.999810021340936,0.9318181818181818,0.9864559819413092,0.9010989010989011,0.995285815263242
24,Fold2,Epoch25,0.9859402460456942,0.998482837094633,0.9859402460456942,0.9998013556477156,0.8712121212121212,0.9962377727614747,0.9126984126984127,0.9968135075358551
25,Fold2,Epoch26,0.9982425307557118,0.9996207092736583,0.9973661106233538,0.9999976669287484,0.946969696969697,0.9834462001504891,0.8960573476702509,0.9963403789588892
26,Fold2,Epoch27,0.9982425307557118,0.9994310639104874,0.9964912280701754,0.9999630041558666,0.9696969696969697,0.9924755455229496,0.9481481481481482,0.997936475363112
27,Fold2,Epoch28,1.0,1.0,1.0,1.0,0.9166666666666666,0.9969902182091799,0.9416342412451362,0.9974063433431379
28,Fold2,Epoch29,0.9947275922671354,0.9996207092736583,0.9956024626209323,0.9999353405967397,0.7272727272727273,0.9932279909706546,0.810126582278481,0.991597692500627
29,Fold2,Epoch30,0.9490333919156415,0.9948795751943865,0.9507042253521126,0.9983651836443705,0.9318181818181818,0.9811888638073739,0.8785714285714286,0.9918200059283581
