,Config_9
0,0.5436426116838488
1,0.7041237113402062
2,0.7829896907216495
3,0.8316151202749141
4,0.8725085910652921
5,0.9042955326460481
6,0.9233676975945018
7,0.936426116838488
8,0.9518900343642611
9,0.947766323024055
