,Config_23
0,0.15910652920962198
1,0.2647766323024055
2,0.33694158075601377
3,0.3788659793814433
4,0.44209621993127146
5,0.4534364261168385
6,0.45756013745704466
7,0.45979381443298967
8,0.4640893470790378
9,0.4666666666666667
