,Head only,Stage 4,Stages 3-4,Stages 2-4,Stages 1-4
0,3.4375,3.25,3.0625,1.875,2.625
1,3.4375,2.9375,3.4375,2.8125,3.4375
2,3.4375,3.8125,3.4375,3.4375,3.4375
3,3.5625,3.875,3.4375,3.4375,3.4375
4,4.0625,4.125,3.4375,3.4375,3.4375
5,4.0,4.1875,3.5625,3.4375,3.4375
6,3.75,4.3125,3.875,3.4375,3.4375
7,3.75,4.4375,3.4375,3.4375,3.4375
8,3.8125,4.3125,4.0625,3.4375,3.4375
9,4.0625,4.375,3.8125,3.4375,3.4375
