,HeadOnly
0,0.7481099656357388
1,0.7871134020618556
2,0.7938144329896907
3,0.8005154639175258
4,0.8051546391752578
5,0.8103092783505155
6,0.8127147766323024
7,0.8171821305841924
8,0.8201030927835051
9,0.8228522336769759
10,0.8233676975945017
11,0.8237113402061855
12,0.8276632302405498
13,0.8310996563573884
14,0.8328178694158076
15,0.8328178694158076
16,0.8369415807560138
17,0.8374570446735395
18,0.8403780068728522
19,0.8398625429553265
