,Epoch,train_accuracy,train_loss,test_accuracy,test_loss
0,Epoch1,0.46924397349357605,1.52922785282135,0.5549561977386475,1.2806013822555542
1,Epoch2,0.7111684083938599,0.8621330261230469,0.6567767858505249,0.9631205797195435
2,Epoch3,0.8274914026260376,0.5490697026252747,0.712070107460022,0.8035735487937927
3,Epoch4,0.9025773406028748,0.35996848344802856,0.7316250801086426,0.7368066310882568
4,Epoch5,0.945704460144043,0.23864859342575073,0.7572488188743591,0.6725308299064636
5,Epoch6,0.9658075571060181,0.1595848947763443,0.767363429069519,0.6657543778419495
6,Epoch7,0.9797250628471375,0.1093832403421402,0.7754551768302917,0.6247730851173401
7,Epoch8,0.985567033290863,0.08289967477321625,0.7801753282546997,0.6384352445602417
8,Epoch9,0.988831639289856,0.05991639196872711,0.7889413237571716,0.6015642881393433
9,Epoch10,0.9891752600669861,0.05184374004602432,0.7916385531425476,0.6063086986541748
10,Epoch11,0.987800657749176,0.04897936061024666,0.7902899384498596,0.5996145009994507
11,Epoch12,0.9907216429710388,0.036683663725852966,0.7808496356010437,0.6703927516937256
12,Epoch13,0.9898625612258911,0.03407113999128342,0.7882670164108276,0.6611032485961914
13,Epoch14,0.9932989478111267,0.027699775993824005,0.7909642457962036,0.6515945196151733
14,Epoch15,0.9919244050979614,0.027038155123591423,0.7943357825279236,0.6553358435630798
15,Epoch16,0.9915807843208313,0.025033889338374138,0.7963587045669556,0.6723295450210571
