,Stage_4
0,0.85893470790378
1,0.9029209621993127
2,0.9309278350515464
3,0.9465635738831615
4,0.952061855670103
5,0.9709621993127148
6,0.9780068728522336
7,0.9821305841924398
8,0.9872852233676976
9,0.9898625429553265
10,0.9917525773195877
11,0.9917525773195877
12,0.993127147766323
13,0.9934707903780069
14,0.9934707903780069
15,0.9996563573883162
16,1.0
17,1.0
18,1.0
19,1.0
