,Stages_3-4
0,0.8778350515463917
1,0.9329896907216495
2,0.9518900343642611
3,0.9642611683848797
4,0.9730240549828179
5,0.9824742268041237
6,0.9857388316151203
7,0.9884879725085911
8,0.9943298969072165
9,0.9902061855670103
10,0.9936426116838488
11,0.9969072164948454
12,0.9922680412371134
13,0.9939862542955327
14,0.9967353951890034
15,0.9984536082474227
16,0.9919243986254296
17,0.9948453608247423
18,0.9929553264604811
19,1.0
