,HeadOnly
0,0.34553264604810996
1,0.43711340206185567
2,0.45446735395189003
3,0.45618556701030927
4,0.45824742268041235
5,0.4579037800687285
6,0.4592783505154639
7,0.4572164948453608
8,0.4587628865979381
9,0.4601374570446735
10,0.46151202749140896
11,0.4632302405498282
12,0.465979381443299
13,0.46786941580756014
14,0.46941580756013745
15,0.4713058419243986
16,0.4725085910652921
17,0.4778350515463918
18,0.48058419243986256
19,0.4843642611683849
