,Stages_2-4
0,0.49003436426116836
1,0.6378006872852233
2,0.7175257731958763
3,0.7891752577319587
4,0.8206185567010309
5,0.8570446735395189
6,0.8829896907216495
7,0.9006872852233677
8,0.9125429553264605
9,0.9264604810996564
10,0.9460481099656357
11,0.9432989690721649
12,0.9558419243986255
13,0.9572164948453609
14,0.9541237113402062
15,0.9608247422680413
16,0.9740549828178694
17,0.9618556701030928
18,0.9671821305841924
19,0.9883161512027492
