,Fold,Epoch,Train_Recall,Train_Spec,Train_F1,Train_AUC,Test_Recall,Test_Spec,Test_F1,Test_AUC
0,Fold2,Epoch1,0.47045951859956237,0.9649025069637883,0.4994192799070848,0.8981151549506388,0.5702479338842975,0.9880597014925373,0.6699029126213593,0.9793758480325645
1,Fold2,Epoch2,0.7964989059080962,0.9734447539461467,0.7551867219917012,0.9796448112412103,0.7933884297520661,0.9902985074626866,0.8347826086956521,0.988614777352905
2,Fold2,Epoch3,0.862144420131291,0.9842154131847726,0.8418803418803419,0.9909380339666266,0.7851239669421488,0.994776119402985,0.852017937219731,0.9955655606266189
3,Fold2,Epoch4,0.9102844638949672,0.9910863509749304,0.9033659066232356,0.9945220230439932,0.6115702479338843,0.9992537313432835,0.7551020408163265,0.9916368570371283
4,Fold2,Epoch5,0.949671772428884,0.9955431754874652,0.9486338797814208,0.9988744161287636,0.2892561983471074,1.0,0.44871794871794873,0.9883434069322807
5,Fold2,Epoch6,0.9277899343544858,0.9938718662952646,0.9277899343544858,0.998069440804244,0.8512396694214877,0.991044776119403,0.8728813559322034,0.9927038361909462
6,Fold2,Epoch7,0.9584245076586433,0.9951717734447539,0.9511400651465798,0.9990300474004905,0.8925619834710744,0.9955223880597015,0.9191489361702128,0.9983779449858148
7,Fold2,Epoch8,0.9715536105032823,0.9972144846796658,0.9694323144104804,0.9996131567345065,0.8264462809917356,0.9985074626865672,0.8968609865470852,0.9961699765634636
8,Fold2,Epoch9,0.986870897155361,0.9987000928505106,0.985792349726776,0.9997834165330798,0.9504132231404959,0.9888059701492538,0.9163346613545816,0.9971259405452079
9,Fold2,Epoch10,0.9671772428884027,0.9972144846796658,0.9671772428884027,0.9993831637846438,0.9256198347107438,0.9940298507462687,0.9294605809128631,0.9982237572468237
10,Fold2,Epoch11,0.9846827133479212,0.9981429897864438,0.9814612868047983,0.9998268957656511,0.9586776859504132,0.994776119402985,0.9508196721311475,0.9986739854446773
11,Fold2,Epoch12,0.975929978118162,0.9983286908077994,0.9780701754385965,0.9997472515639317,0.9586776859504132,0.9850746268656716,0.9027237354085603,0.9944800789441223
12,Fold2,Epoch13,0.9890590809628009,0.9983286908077994,0.9847494553376906,0.9999512382438454,0.7768595041322314,0.9977611940298508,0.8623853211009175,0.994399901319847
13,Fold2,Epoch14,0.9846827133479212,0.9988857938718663,0.9857612267250822,0.9998955685722355,0.9586776859504132,0.994776119402985,0.9508196721311475,0.998254594794622
14,Fold2,Epoch15,0.9934354485776805,0.9996285979572888,0.9945235487404163,0.9999837460812818,0.7851239669421488,0.996268656716418,0.8597285067873304,0.9934809423954607
15,Fold2,Epoch16,0.9824945295404814,0.9983286908077994,0.9814207650273225,0.9996448518760069,0.8760330578512396,0.996268656716418,0.9137931034482759,0.9963858393980511
16,Fold2,Epoch17,1.0,1.0,1.0,1.0,0.9834710743801653,0.9873134328358208,0.9260700389105059,0.9976686813864563
17,Fold2,Epoch18,1.0,1.0,1.0,1.0,0.9504132231404959,0.9940298507462687,0.9426229508196722,0.9980263969409153
18,Fold2,Epoch19,1.0,1.0,1.0,1.0,0.9173553719008265,0.996268656716418,0.9367088607594937,0.9983594424571358
19,Fold2,Epoch20,0.9540481400437637,0.9972144846796658,0.960352422907489,0.9991312280445113,0.8842975206611571,0.996268656716418,0.9184549356223176,0.9966880473664734
20,Fold2,Epoch21,0.9890590809628009,0.9988857938718663,0.9879781420765027,0.9999662731186597,0.9256198347107438,0.996268656716418,0.9411764705882353,0.993801652892562
21,Fold2,Epoch22,0.9912472647702407,0.9998142989786444,0.9945115257958288,0.9999443303283901,0.9669421487603306,0.9850746268656716,0.9069767441860465,0.9972122856790427
22,Fold2,Epoch23,1.0,0.9998142989786444,0.9989071038251366,1.0,0.9669421487603306,0.9917910447761195,0.9397590361445783,0.9980448994695942
23,Fold2,Epoch24,0.9824945295404814,0.9979572887650882,0.9792802617230099,0.9997220579899185,0.9421487603305785,0.9865671641791045,0.9011857707509882,0.9983532749475761
24,Fold2,Epoch25,0.986870897155361,0.998514391829155,0.9847161572052402,0.9997708197460732,0.9090909090909091,0.9940298507462687,0.9205020920502092,0.9979215492784014
25,Fold2,Epoch26,1.0,1.0,1.0,1.0,0.9421487603305785,0.996268656716418,0.95,0.9982237572468238
26,Fold2,Epoch27,1.0,1.0,1.0,1.0,0.9504132231404959,0.9955223880597015,0.9504132231404959,0.998920685827063
27,Fold2,Epoch28,1.0,1.0,1.0,1.0,0.9504132231404959,0.9970149253731343,0.9583333333333334,0.9988960157888245
28,Fold2,Epoch29,0.9781181619256017,0.9981429897864438,0.9781181619256017,0.999207621462487,0.7355371900826446,0.996268656716418,0.827906976744186,0.9917540397187616
29,Fold2,Epoch30,0.9540481400437637,0.997585886722377,0.9624724061810155,0.9986411723951572,0.8925619834710744,0.9932835820895523,0.907563025210084,0.9979647218453189
