,Config_20
0,0.03676975945017182
1,0.5285223367697595
2,0.5326460481099656
3,0.5470790378006873
4,0.5962199312714777
5,0.659106529209622
6,0.7300687285223367
7,0.7620274914089347
8,0.7939862542955326
9,0.8060137457044674
