,Config_22
0,0.005670103092783505
1,0.3252577319587629
2,0.47147766323024054
3,0.5149484536082474
4,0.6376288659793814
5,0.7049828178694159
6,0.7429553264604811
7,0.768384879725086
8,0.7826460481099656
9,0.7943298969072164
