,Stage_4
0,0.4883161512027491
1,0.6037800687285223
2,0.6922680412371134
3,0.7527491408934708
4,0.8109965635738832
5,0.8697594501718213
6,0.9013745704467354
7,0.934020618556701
8,0.9517182130584192
9,0.959106529209622
10,0.9725085910652921
11,0.9786941580756013
12,0.963573883161512
13,0.9891752577319588
14,0.9747422680412371
15,0.9802405498281787
16,0.968213058419244
17,0.9845360824742269
18,0.9902061855670103
19,0.9922680412371134
