,Stages_3-4
0,0.5450171821305841
1,0.6907216494845361
2,0.7771477663230241
3,0.8336769759450172
4,0.8790378006872852
5,0.9070446735395189
6,0.9249140893470791
7,0.931958762886598
8,0.9503436426116838
9,0.9570446735395189
10,0.9713058419243986
11,0.9618556701030928
12,0.965807560137457
13,0.9769759450171821
14,0.9761168384879725
15,0.979553264604811
16,0.9731958762886598
17,0.9752577319587629
18,0.9895189003436426
19,0.9769759450171821
