,Head only,Stage 4,Stages 3-4,Stages 2-4,Stages 1-4
0,0.7917525773195876,0.8501718213058419,0.8140893470790378,0.7536082474226804,0.5032646048109966
1,0.8247422680412371,0.8919243986254296,0.8926116838487973,0.8663230240549828,0.5140893470790378
2,0.8441580756013746,0.9207903780068728,0.9108247422680412,0.8865979381443299,0.5017182130584192
3,0.8541237113402061,0.929553264604811,0.9268041237113402,0.89553264604811,0.5144329896907216
4,0.8582474226804123,0.9503436426116838,0.936426116838488,0.9015463917525773,0.5189003436426117
5,0.8666666666666667,0.9675257731958763,0.9451890034364261,0.9123711340206185,0.5092783505154639
6,0.8697594501718213,0.9750859106529209,0.9479381443298969,0.9137457044673539,0.5195876288659794
7,0.8716494845360825,0.9778350515463917,0.9575601374570447,0.9201030927835051,0.5264604810996564
8,0.8743986254295533,0.9836769759450171,0.9579037800687286,0.9231958762886598,0.5237113402061856
9,0.8792096219931271,0.9900343642611684,0.9692439862542955,0.9288659793814433,0.5285223367697595
