Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
0,0.9091065526008606,0.24444115161895752,0.8900876641273499,0.3067517578601837
1,0.9676976203918457,0.10048239678144455,0.942683756351471,0.20024824142456055
2,0.9795532822608948,0.06586792320013046,0.9265003204345703,0.23186451196670532
3,0.9850515723228455,0.048401474952697754,0.9190829396247864,0.2679641842842102
4,0.984192430973053,0.04483448714017868,0.8604180812835693,0.3922715485095978
5,0.9869415760040283,0.04311318323016167,0.9163857102394104,0.28600701689720154
6,0.992439866065979,0.02608633227646351,0.9575185179710388,0.15288808941841125
7,0.9912371039390564,0.028779011219739914,0.8685097694396973,0.42614349722862244
8,0.9929553270339966,0.02646258845925331,0.9494268298149109,0.17165039479732513
9,0.9969072341918945,0.015053206123411655,0.939986526966095,0.25179523229599
10,0.9967353940010071,0.012440497055649757,0.9669588804244995,0.15530341863632202
11,0.9853951930999756,0.04501282423734665,0.942683756351471,0.22707092761993408
12,0.9970790147781372,0.013370214030146599,0.9474039077758789,0.2046077847480774
13,0.9981099367141724,0.008979378268122673,0.9211058616638184,0.38280177116394043
14,0.9948453903198242,0.019220411777496338,0.9278489351272583,0.2646501958370209
15,0.9939862489700317,0.021635722368955612,0.9474039077758789,0.1994965374469757
16,0.9926117062568665,0.029433635994791985,0.9608901143074036,0.16753195226192474
17,0.9936426281929016,0.02452250011265278,0.9561699032783508,0.1676444411277771
18,0.9943298697471619,0.01856991834938526,0.9224544763565063,0.2600405812263489
19,0.9965635538101196,0.01575378328561783,0.9635873436927795,0.16122503578662872
